"class","term","week","subject","topic","agegroup","context","generated"
"Year 3","Noel Term","2","Citizenship","Government: meaning, arms of government ( components and their functions)","7-8","","false"
"Year 3","Noel Term","3","Citizenship","Government: levels of government ( components and their functions","7-8","","false"
"Year 3","Noel Term","4","Citizenship","Government: forms of government -- democracy, monarchy, oligarchy, bureaucracy, theocracy, aristocracy etc","7-8","","false"
"Year 3","Noel Term","5","Citizenship","Democracy and democratic countries: meaning and examples","7-8","","false"
"Year 3","Noel Term","6","Citizenship","National values: meaning of values, meaning of national values, examples of national values, the need to imbibe values in the society","7-8","","false"
"Year 3","Noel Term","7","Citizenship","Constituted authority: meaning, types and respect for constituted authority","7-8","","false"
"Year 3","Noel Term","8","Citizenship","Communities in Nigeria: meaning, types and roles of community members","7-8","","false"
"Year 3","Noel Term","9","Citizenship","Peaceful coexistence: meaning, reasons and importance","7-8","","false"
"Year 3","Noel Term","1","Computer Studies","Generation of computer","7-8","","false"
"Year 3","Noel Term","2","Computer Studies","Data and information: meaning, relationships between data and information","7-8","","false"
"Year 3","Noel Term","3","Computer Studies","Data processing: meaning, steps involved in data processing, data processing, information as end of results of data processing","7-8","","false"
"Year 3","Noel Term","4","Computer Studies","Database: meaning, types and importance","7-8","","false"
"Year 3","Noel Term","5","Computer Studies","Computer hardware: meaning and examples","7-8","","false"
"Year 3","Noel Term","6","Computer Studies","Hardware components: meaning, classes - input and output devices","7-8","","false"
"Year 3","Noel Term","7","Computer Studies","Converting soft copy data into digital data ( scanner as an input devices)","7-8","","false"
"Year 3","Noel Term","8","Computer Studies","Computer memory: RAM and ROM","7-8","","false"
"Year 3","Noel Term","9","Computer Studies","Microphone and the digital camera as an input devices","7-8","","false"
"Year 3","Noel Term","1","Creative Writing","Varied ending of stories -- My summer holiday","7-8","","false"
"Year 3","Noel Term","2","Creative Writing","Completing stories: The sand castle as a play","7-8","","false"
"Year 3","Noel Term","3","Creative Writing","Shape poem","7-8","","false"
"Year 3","Noel Term","4","Creative Writing","Picture description and labelling","7-8","","false"
"Year 3","Noel Term","5","Creative Writing","Writing reports","7-8","","false"
"Year 3","Noel Term","6","Creative Writing","My favorite superhero","7-8","","false"
"Year 3","Noel Term","7","Creative Writing","A day in the desert","7-8","","false"
"Year 3","Noel Term","8","Creative Writing","Loosing my teeth","7-8","","false"
"Year 3","Noel Term","9","Creative Writing","What I know about dinosaurs","7-8","","false"
"Year 3","Noel Term","1","Cultural and Creative Arts","Arts: definition and uses","7-8","","false"
"Year 3","Noel Term","2","Cultural and Creative Arts","Branches of arts: music, drama, and dance; meaning of music, drama and art","7-8","","false"
"Year 3","Noel Term","3","Cultural and Creative Arts","Introduction to Nigeria artworks: theatre, sources of musical sounds, difference between music and noise","7-8","","false"
"Year 3","Noel Term","4","Cultural and Creative Arts","Musical instruments: meaning, classes and examples","7-8","","false"
"Year 3","Noel Term","5","Cultural and Creative Arts","Greeting practices, time and greeting and occasions in Nigeria","7-8","","false"
"Year 3","Noel Term","6","Cultural and Creative Arts","Different ceremonies and dances for tribes in Nigeria","7-8","","false"
"Year 3","Noel Term","7","Cultural and Creative Arts","Elements of design: shapes, lines and colors ( meaning, types and uses)","7-8","","false"
"Year 3","Noel Term","8","Cultural and Creative Arts","Pattern: designing pattern from simple basic shapes, making simple repeated patterns, using patterns to make Christmas cards, exhibitions","7-8","","false"
"Year 3","Noel Term","9","Cultural and Creative Arts","Principles of design; meaning, types and uses","7-8","","false"
"Year 3","Noel Term","1","Geography","Weather and climate: meaning, elements, seasons and their classification","7-8","","false"
"Year 3","Noel Term","2","Geography","The earth: meaning and components","7-8","","false"
"Year 3","Noel Term","3","Geography","Vegetation zones in Nigeria: meaning, types, characteristics and locations","7-8","","false"
"Year 3","Noel Term","4","Geography","Afforestation and Deforestation: meaning causes, advantages and disadvantages","7-8","","false"
"Year 3","Noel Term","5","Geography","Flooding: meaning, causes and effects","7-8","","false"
"Year 3","Noel Term","6","Geography","Plains and plateaus: meaning, formation, types and characteristics","7-8","","false"
"Year 3","Noel Term","7","Geography","Hills and valleys: meaning, formation, types and characteristics","7-8","","false"
"Year 3","Noel Term","8","Geography","Rainfall: meaning, formation, types and importance","7-8","","false"
"Year 3","Noel Term","9","Geography","Map of Nigeria","7-8","","false"
"Year 3","Noel Term","1","History","The history of man","7-8","","false"
"Year 3","Noel Term","2","History","Early history of west African states","7-8","","false"
"Year 3","Noel Term","3","History","Colonial era in Nigeria","7-8","","false"
"Year 3","Noel Term","4","History","Monarchy ( monarch's around the world)","7-8","","false"
"Year 3","Noel Term","5","History","Queen Elizabeth ii ( the longest reigning monarch in the world)","7-8","","false"
"Year 3","Noel Term","6","History","Alexander the great","7-8","","false"
"Year 3","Noel Term","7","History","Queen Amina of Zaria","7-8","","false"
"Year 3","Noel Term","8","History","Ben Carson","7-8","","false"
"Year 3","Noel Term","9","History","Abraham Lincoln","7-8","","false"
"Year 3","Noel Term","1","Home Economics","Home Economics: meaning, scopes, importance","7-8","","false"
"Year 3","Noel Term","2","Home Economics","Appearance management: meaning, identification and functions of the body","7-8","","false"
"Year 3","Noel Term","3","Home Economics","Care of body parts: skin, hair and nose","7-8","","false"
"Year 3","Noel Term","4","Home Economics","Cosmetics: meaning, examples, uses and precautions on the use of cosmetics","7-8","","false"
"Year 3","Noel Term","5","Home Economics","Deodorants and anti perspirants : meaning, examples and importance","7-8","","false"
"Year 3","Noel Term","6","Home Economics","Kitchen: meaning, types, rules and importance","7-8","","false"
"Year 3","Noel Term","7","Home Economics","Rest and Sleep: Health benefits of rest and sleep","7-8","","false"
"Year 3","Noel Term","8","Home Economics","House care: needs for daily cleaning and steps in house caring","7-8","","false"
"Year 3","Noel Term","9","Home Economics","Practical (bead craft)","7-8","","false"
"Year 3","Noel Term","1","Literacy","Speech marks: ( Quotation marks)","7-8","","false"
"Year 3","Noel Term","2","Literacy","Preposition","7-8","","false"
"Year 3","Noel Term","3","Literacy","Conjunction and interjection","7-8","","false"
"Year 3","Noel Term","4","Literacy","Question tags: meaning, formation of question tags and examples","7-8","","false"
"Year 3","Noel Term","5","Literacy","Phrase: meaning and examples","7-8","","false"
"Year 3","Noel Term","6","Literacy","Clause: meaning and examples","7-8","","false"
"Year 3","Noel Term","7","Literacy","Sentences: meaning, types and formation of sentences","7-8","","false"
"Year 3","Noel Term","8","Literacy","Idiomatic expressions","7-8","","false"
"Year 3","Noel Term","9","Literacy","Future action: using ""shall"" and ""will""","7-8","","false"
"Year 3","Noel Term","1","Moral Instructions","Forgiveness: meaning and benefit of forgiveness","7-8","","false"
"Year 3","Noel Term","2","Moral Instructions","Forbearance","7-8","","false"
"Year 3","Noel Term","3","Moral Instructions","Loyalty","7-8","","false"
"Year 3","Noel Term","4","Moral Instructions","Punctuality: meaning, importance and effect of not been punctual","7-8","","false"
"Year 3","Noel Term","5","Moral Instructions","Diligence: attribute of a diligent person","7-8","","false"
"Year 3","Noel Term","6","Moral Instructions","Team work: meaning and benefit of team work","7-8","","false"
"Year 3","Noel Term","7","Moral Instructions","Savings","7-8","","false"
"Year 3","Noel Term","8","Moral Instructions","Contentment: meaning and benefit of contentment","7-8","","false"
"Year 3","Noel Term","9","Moral Instructions","Cleanliness","7-8","","false"
"Year 3","Noel Term","1","Numeracy","Whole numbers 1-100,000:( counting, ordering and writing in words)","7-8","","false"
"Year 3","Noel Term","2","Numeracy","Place value","7-8","","false"
"Year 3","Noel Term","3","Numeracy","Roman Numerals","7-8","","false"
"Year 3","Noel Term","4","Numeracy","Addition of 3-4 digit numbers (with and without remaining)","7-8","","false"
"Year 3","Noel Term","5","Numeracy","Subtraction of 3-4 digit numbers (with and without remaining)","7-8","","false"
"Year 3","Noel Term","6","Numeracy","Multiplication of 2 and 3 digit numbers by 1and 2 digit numbers","7-8","","false"
"Year 3","Noel Term","7","Numeracy","Factors and multiples (LCM, HCF)","7-8","","false"
"Year 3","Noel Term","8","Numeracy","Fraction","7-8","","false"
"Year 3","Noel Term","9","Numeracy","Decimal fraction (Decimals)","7-8","","false"
"Year 3","Noel Term","1","Physical and Health Education","P- Locomotor movements: meaning, types ( walking, running, skipping, crawling and galloping) H- care of the body","7-8","","false"
"Year 3","Noel Term","2","Physical and Health Education","P- Locomotor movements: skills involved in sliding, jumping and leaping, hopping H- care of the hair","7-8","","false"
"Year 3","Noel Term","3","Physical and Health Education","P- non Locomotor movements: meaning and types ( stretching, bending, twisting, swinging, pulling and pushing) H- Skin diseases","7-8","","false"
"Year 3","Noel Term","4","Physical and Health Education","P- non Locomotor movements: pulling and pushing H- Personal health","7-8","","false"
"Year 3","Noel Term","5","Physical and Health Education","P- sprints and types of sprint (100 metres, 200 metres, 400 metres) sprints and techniques (take off, running, arm action and finish) H- Exercise, rest and sleep: meaning and importance","7-8","","false"
"Year 3","Noel Term","6","Physical and Health Education","P- techniques in running -- acceleration , coast , the finish H- growth: meaning, foods that makes us grow properly","7-8","","false"
"Year 3","Noel Term","7","Physical and Health Education","P- field event: high jump: stages of high jump (run off, take off, clearing the cross bar, landing and recovery) H- Food and nutrition","7-8","","false"
"Year 3","Noel Term","8","Physical and Health Education","P- field event: long jump H- care of our food","7-8","","false"
"Year 3","Noel Term","9","Physical and Health Education","P- relay race H- care of our clothes","7-8","","false"
"Year 3","Noel Term","1","Social Studies","Physical environment: People live in desert, fertile places, lakes, rivers or ocean, mountain, low areas, climate varies","7-8","","false"
"Year 3","Noel Term","2","Social Studies","Customs and beliefs -- meaning , cultural practices, differences in customs and beliefs among cultures in Nigeria, beliefs and traditions; difference an similarities, values that can be promoted","7-8","","false"
"Year 3","Noel Term","3","Social Studies","Marriage: meaning, types and importance","7-8","","false"
"Year 3","Noel Term","4","Social Studies","Marriage practices in Nigeria: roles of culture in marriage practices, concepts of dowry, and reasons for differences in marriage practices","7-8","","false"
"Year 3","Noel Term","5","Social Studies","Culture: meaning, elements, ways of preserving culture and why different people have different customs (difference in history, geographical positions and external influences","7-8","","false"
"Year 3","Noel Term","6","Social Studies","Natural resources -- meaning, examples and resources development","7-8","","false"
"Year 3","Noel Term","7","Social Studies","Production -- meaning, types, factors and importance","7-8","","false"
"Year 3","Noel Term","8","Social Studies","Division of labour","7-8","","false"
"Year 3","Noel Term","9","Social Studies","Traditional festivals and ceremonies","7-8","","false"
"Year 3","Noel Term","1","Vocational Studies","Carpentry: meaning of carpentry, who is a carpenter, tools used in carpentry","7-8","","false"
"Year 3","Noel Term","2","Vocational Studies","Plumbing: meaning of plumbing, who is a plumber, tools used in plumbing","7-8","","false"
"Year 3","Noel Term","3","Vocational Studies","Brick laying (Masonry): meaning of bricklaying/masonry, who is a brick layer/mason, tools used in brick laying/masonry","7-8","","false"
"Year 3","Noel Term","4","Vocational Studies","Electrician: meaning and tools","7-8","","false"
"Year 3","Noel Term","5","Vocational Studies","Beauty therapy( hair care, makeup, skin care, nail care and other beauty service): meaning, who is a beautician, tools used by beautician","7-8","","false"
"Year 3","Noel Term","6","Vocational Studies","Painting: meaning, who is a painter, tools used in painting","7-8","","false"
"Year 3","Noel Term","7","Vocational Studies","Engineering: meaning, who is an engineer and types and tools","7-8","","false"
"Year 3","Noel Term","8","Vocational Studies","Fishing: meaning, who is a fisherman, fisher woman and fish monger and fishing tools","7-8","","false"
"Year 3","Noel Term","9","Vocational Studies","Practical (makeup)","7-8","","false"
"Year 3","Noel Term","1","Yoruba Language","Itan awon akoni Ile yoruba laye atijo ati ode oni - Oruka awon akoni agbegbe akokoo ni aye atijo ati ni ode oni - Akitiyan awon akoni to ati daruko","7-8","","false"
"Year 3","Noel Term","2","Yoruba Language","Onka Ookanlelogbon de ogoji (31-40 - Onka Yoruba Ookanlelogbon de ogoji - Aropo/ ayokuro awon onka kan lati fun wa ni onka miran - Titoka si awon oro to se pataki fun onka ( le ati din)","7-8","","false"
"Year 3","Noel Term","3","Yoruba Language","Ere: onitan keekeeke - Kika iwe ere- onise - Sise ere-onise - Ijiroro lori eko ti ari ko ati eda Inu itan - Iwe kika, alawiye iwe keta","7-8","","false"
"Year 3","Noel Term","4","Yoruba Language","Orin omode siwaju si - Awon Orin ati eko ti won nko was bi: ""kin n o fole se laye to mo wa"", "" imototo lo le segun arun gbogbo "", ""we ki o mo, ge eekana re , jeun to dara --"" Owe siwaju si - Owe ati pataki re - Titumo owe ati lilo lori bi "" agboju le Ogun fi ara re fosi ta"", owo omode ko to pepe, ta gbalagba ko wo keregbe"", ""agba kii wa Loja Kori omo tuntun wo""","7-8","","false"
"Year 3","Noel Term","5","Yoruba Language","Apeko awon oro ledee yoruba - Kiko Ori Yoruba keekeeke bi -- aga, tabili abbl - Iro ohun : d, r, m - Silebu yoruba","7-8","","false"
"Year 3","Noel Term","6","Yoruba Language","Aso wiwo - Kinni aso wiwo - Apeere awon aso ti okunrin ati apeere awon aso obinrin - Gbolohun keekeeke nipa aso wiwo bi, mode fila, mo wo sokoto abbl","7-8","","false"
"Year 3","Noel Term","7","Yoruba Language","Oro gbolohun - Oro oruko, apeere, itumo, ati idamo oro oruko - Oro aropo oruko - Oro ise, Oro apejuwe, oro atokun, oro asopo","7-8","","false"
"Year 3","Noel Term","8","Yoruba Language","Ounje Ile yoruba - Itesiwaju awon ire okó ati ounje ti anfi won se","7-8","","false"
"Year 3","Noel Term","9","Yoruba Language","Asa ibagbepo","7-8","","false"
"Year 4","Noel Term","1","Agricultural Science","Classification of crops -- cereals , legumes, beverages, tuber crops, fiber crops, ornamental, oil, root, vegetable","8-9","","false"
"Year 4","Noel Term","2","Agricultural Science","Crop propagation -- meaning, types and importance","8-9","","false"
"Year 4","Noel Term","3","Agricultural Science","Planting activities : pre-planting operation","8-9","","false"
"Year 4","Noel Term","4","Agricultural Science","Planting activities: planting operation","8-9","","false"
"Year 4","Noel Term","5","Agricultural Science","Planting activities: post--planting operation","8-9","","false"
"Year 4","Noel Term","6","Agricultural Science","Farm record: meaning, types and importance","8-9","","false"
"Year 4","Noel Term","7","Agricultural Science","Farm product (food crops, cash crops and animal products), uses of farm products","8-9","","false"
"Year 4","Noel Term","8","Agricultural Science","Silviculture : meaning, types and importance","8-9","","false"
"Year 4","Noel Term","9","Agricultural Science","Bee farming: meaning, steps involved and importance","8-9","","false"
"Year 4","Noel Term","1","Basic Science","Environmental changes: meaning, causes, effects and control of erosion","8-9","","false"
"Year 4","Noel Term","2","Basic Science","Waste and waste disposal: meaning, types, method of waste disposal and recycling","8-9","","false"
"Year 4","Noel Term","3","Basic Science","Environmental quality: meaning, ways of maintaining healthy environment","8-9","","false"
"Year 4","Noel Term","4","Basic Science","Balanced diet: meaning, classes of food, importance and diet related dishes","8-9","","false"
"Year 4","Noel Term","5","Basic Science","Changes in nature: Types; temporal and permanent changes","8-9","","false"
"Year 4","Noel Term","6","Basic Science","Our weather: Meaning, factors affecting weather, weather instruments, weather symbols and records","8-9","","false"
"Year 4","Noel Term","7","Basic Science","Respiratory system: meaning, organs, functions of the organs and care","8-9","","false"
"Year 4","Noel Term","8","Basic Science","Excretory system: meaning, organs, functions of the organs and care","8-9","","false"
"Year 4","Noel Term","9","Basic Science","Filtration: meaning, mixture, solute and solvent","8-9","","false"
"Year 4","Noel Term","1","Christian Religious Knowledge","God is our father, we are children of one father who takes care of us, The fatherhood of God and brotherhood of Man (Matthew 6:25-34 Exodus 16:4-5) (a) Significance of being in Christ: Attitude of one father (b) How He communicate to us as children and importance of living in peace","8-9","","false"
"Year 4","Noel Term","2","Christian Religious Knowledge","God speaks to us ( Exodus 33:11, Gen 28:10-17) (a) When God speaks (b) How to hear God when he speaks (c) Importance of when God speaks","8-9","","false"
"Year 4","Noel Term","3","Christian Religious Knowledge","God calls us for a purpose (Gen 13:1-3, Luke 5:1-11, Gen 12:1-20) - Meaning of purpose of God's call. - Right response to God's call. Story of the call of Abraham - Importance of God purpose in our life","8-9","","false"
"Year 4","Noel Term","4","Christian Religious Knowledge","Benefits of obedience to God's call - Meaning of obedience - How to be obedient - Importance of obedience","8-9","","false"
"Year 4","Noel Term","5","Christian Religious Knowledge","God gives his law to us - Meaning of law - Reasons for the law and the ten commandments - Purpose of the law (Exodus 20:1-11)","8-9","","false"
"Year 4","Noel Term","6","Christian Religious Knowledge","The ten commandments ( Exodus 20:3-17) (a) Meaning of commandments (b) Reasons to obey the commandments (c) Importance of commandments","8-9","","false"
"Year 4","Noel Term","7","Christian Religious Knowledge","The story of Joseph (Gen 37:1-39) (a) Who is Joseph (b) How did Joseph live his life","8-9","","false"
"Year 4","Noel Term","8","Christian Religious Knowledge","The Israelites (God's chosen people) ( Genesis 32:28)","8-9","","false"
"Year 4","Noel Term","9","Christian Religious Knowledge","Jesus the son of God (a) Definition of son of God (b) Jesus was born by power of the Holy spirit (c) Evidence of Jesus as the son of God (d) The event of transfiguration ( Matthew 13:1-13)","8-9","","false"
"Year 4","Noel Term","1","Citizenship","Constitution: meaning, types and importance","8-9","","false"
"Year 4","Noel Term","2","Citizenship","Nation: meaning, characteristics, how to build a nation, and importance of nation building","8-9","","false"
"Year 4","Noel Term","3","Citizenship","Cultural diversity: meaning, how to develop right attitude to cultural diversity and importance","8-9","","false"
"Year 4","Noel Term","4","Citizenship","Loyalty: meaning of loyalty and disloyalty, how to show loyalty to the nation, consequences of disloyalty","8-9","","false"
"Year 4","Noel Term","5","Citizenship","Leadership: meaning, types, levels and qualities of a good leader","8-9","","false"
"Year 4","Noel Term","6","Citizenship","System of government ( presidential and parliamentary system of government)","8-9","","false"
"Year 4","Noel Term","7","Citizenship","Building values and morals","8-9","","false"
"Year 4","Noel Term","8","Citizenship","National identity: meaning, elements and importance","8-9","","false"
"Year 4","Noel Term","9","Citizenship","Roles of individuals in the society","8-9","","false"
"Year 4","Noel Term","1","Computer Studies","Computer in our society: meaning, careers and advantages","8-9","","false"
"Year 4","Noel Term","2","Computer Studies","Computer system: meaning and components of computer system","8-9","","false"
"Year 4","Noel Term","3","Computer Studies","Classification of computer: classification by sizes and functions","8-9","","false"
"Year 4","Noel Term","4","Computer Studies","Word processing","8-9","","false"
"Year 4","Noel Term","5","Computer Studies","Windows","8-9","","false"
"Year 4","Noel Term","6","Computer Studies","Computer games: meaning, types and uses","8-9","","false"
"Year 4","Noel Term","7","Computer Studies","Introduction to social media: meaning, types and importance","8-9","","false"
"Year 4","Noel Term","8","Computer Studies","Introduction to programming language: meaning, types and uses","8-9","","false"
"Year 4","Noel Term","9","Computer Studies","Search engines: meaning, types and uses","8-9","","false"
"Year 4","Noel Term","1","Creative Writing","An interview on the COVID-19 break","8-9","","false"
"Year 4","Noel Term","2","Creative Writing","Ending a story strange happening at night","8-9","","false"
"Year 4","Noel Term","3","Creative Writing","A most interesting experience","8-9","","false"
"Year 4","Noel Term","4","Creative Writing","A prayer poem","8-9","","false"
"Year 4","Noel Term","5","Creative Writing","Giving Instructions -- How to bake a cake","8-9","","false"
"Year 4","Noel Term","6","Creative Writing","The surprise birthday party","8-9","","false"
"Year 4","Noel Term","7","Creative Writing","My secret dream","8-9","","false"
"Year 4","Noel Term","8","Creative Writing","A visit to the orphanage","8-9","","false"
"Year 4","Noel Term","9","Creative Writing","My favorite season","8-9","","false"
"Year 4","Noel Term","1","Cultural and Creative Arts","Arts: meaning, origin, branches and importance","8-9","","false"
"Year 4","Noel Term","2","Cultural and Creative Arts","Classification of art and Nigerian artworks and drawing of artwork","8-9","","false"
"Year 4","Noel Term","3","Cultural and Creative Arts","Songs that promotes national values, songs that promote values like patriotism in Nigeria e.g National Anthem, NYSC Anthem e.t.c ( Art of composing poetic lines/texts to be put in music )","8-9","","false"
"Year 4","Noel Term","4","Cultural and Creative Arts","Drawing: meaning, types (Nature, still-life, life)","8-9","","false"
"Year 4","Noel Term","5","Cultural and Creative Arts","Drawing and painting","8-9","","false"
"Year 4","Noel Term","6","Cultural and Creative Arts","Introduction to pattern and card making: meaning, types of cards and materials","8-9","","false"
"Year 4","Noel Term","7","Cultural and Creative Arts","Introduction to weaving: meaning and types","8-9","","false"
"Year 4","Noel Term","8","Cultural and Creative Arts","Colors: meaning, types, sources and uses","8-9","","false"
"Year 4","Noel Term","9","Cultural and Creative Arts","Introduction to music: meaning, types of music, importance of music","8-9","","false"
"Year 4","Noel Term","1","Geography","Natural resources: meaning, sources, examples and uses","8-9","","false"
"Year 4","Noel Term","2","Geography","Mineral resources in Nigeria and Africa : meaning, locations and uses","8-9","","false"
"Year 4","Noel Term","3","Geography","Mining: meaning, processes involved in mining, instrument and importance","8-9","","false"
"Year 4","Noel Term","4","Geography","Climatic change: meaning, causes and effects","8-9","","false"
"Year 4","Noel Term","5","Geography","Early explorers: Mungo park ( routes and destination)","8-9","","false"
"Year 4","Noel Term","6","Geography","Early explorers: Vasco Da Gama ( routes and destination)","8-9","","false"
"Year 4","Noel Term","7","Geography","Early explorers: Bartholomew Disc (routes and destination)","8-9","","false"
"Year 4","Noel Term","8","Geography","Early explorers: The landed brothers (routes and destination)","8-9","","false"
"Year 4","Noel Term","9","Geography","Settlement: meaning, types, features and importance","8-9","","false"
"Year 4","Noel Term","1","History","British rule in Nigeria: names of colonial administrators in Nigeria, British protectorates in Nigeria, Amalgamation of the protectorates in 1914, consequences of British rule in Nigeria","8-9","","false"
"Year 4","Noel Term","2","History","Nigeria: How Nigeria was named, the struggles for independence, how nationalists secure our indepsendence, independence and its challenges","8-9","","false"
"Year 4","Noel Term","3","History","Nationalist and Nationalism in Nigeria: meaning of nationalist and nationalism, nationalist activities","8-9","","false"
"Year 4","Noel Term","4","History","Some nationalist in Nigeria:( Herbert Macauley, Nnamdi Azikwe, Obafemi Awolowo)-Background, activities and lessons","8-9","","false"
"Year 4","Noel Term","5","History","Some nationalist in Nigeria:( Sir Ahmadu Bello, Mallam Aminu Kano)-Background activities and lessons","8-9","","false"
"Year 4","Noel Term","6","History","History of education in Nigeria","8-9","","false"
"Year 4","Noel Term","7","History","Origin of banks in Nigeria","8-9","","false"
"Year 4","Noel Term","8","History","Discovery of crude oil in Nigeria","8-9","","false"
"Year 4","Noel Term","9","History","History of trade unions in Nigeria","8-9","","false"
"Year 4","Noel Term","1","Home Economics","Meal and meal planning: meaning, classes and importance","8-9","","false"
"Year 4","Noel Term","2","Home Economics","Cleaning agents: meaning, types and uses","8-9","","false"
"Year 4","Noel Term","3","Home Economics","Home surfaces: meaning, types and cleaning","8-9","","false"
"Year 4","Noel Term","4","Home Economics","Personal belongings: meaning, examples and care","8-9","","false"
"Year 4","Noel Term","5","Home Economics","Furniture: meaning, examples and care","8-9","","false"
"Year 4","Noel Term","6","Home Economics","Simple sewing tools: meaning, classification and functions","8-9","","false"
"Year 4","Noel Term","7","Home Economics","Food classification and functions","8-9","","false"
"Year 4","Noel Term","8","Home Economics","Fruits and fruit drinks: meaning, health benefits and preparation","8-9","","false"
"Year 4","Noel Term","9","Home Economics","Practical ( making of simple household article,)","8-9","","false"
"Year 4","Noel Term","1","Literacy","Relative pronouns: WH questions","8-9","","false"
"Year 4","Noel Term","2","Literacy","Adjectives: meaning, types and examples","8-9","","false"
"Year 4","Noel Term","3","Literacy","Adverb: meaning, types and examples","8-9","","false"
"Year 4","Noel Term","4","Literacy","Intonation and stress pattern","8-9","","false"
"Year 4","Noel Term","5","Literacy","Active and passive sentences","8-9","","false"
"Year 4","Noel Term","6","Literacy","Concord: subject / verb agreement","8-9","","false"
"Year 4","Noel Term","7","Literacy","Verb tenses: present, past, and future tense","8-9","","false"
"Year 4","Noel Term","8","Literacy","Modal verb: use of ""can, will, shall"" etc","8-9","","false"
"Year 4","Noel Term","9","Literacy","Showing necessity and obligation","8-9","","false"
"Year 4","Noel Term","1","Moral Instructions","Good comportment","8-9","","false"
"Year 4","Noel Term","2","Moral Instructions","Humility: meaning and benefit of humility","8-9","","false"
"Year 4","Noel Term","3","Moral Instructions","Interpersonal relationships","8-9","","false"
"Year 4","Noel Term","4","Moral Instructions","Conflict resolution","8-9","","false"
"Year 4","Noel Term","5","Moral Instructions","Moderation: meaning and types of moderation","8-9","","false"
"Year 4","Noel Term","6","Moral Instructions","Time management","8-9","","false"
"Year 4","Noel Term","7","Moral Instructions","Cooperation: meaning, ways and examples of cooperation","8-9","","false"
"Year 4","Noel Term","8","Moral Instructions","Etiquette: meaning, types and how to practice etiquette","8-9","","false"
"Year 4","Noel Term","9","Moral Instructions","Self control","8-9","","false"
"Year 4","Noel Term","1","Numeracy","Whole numbers 1-100,000,000 (counting, ordering and writing in words)","8-9","","false"
"Year 4","Noel Term","2","Numeracy","Place value","8-9","","false"
"Year 4","Noel Term","3","Numeracy","Roman numerals up to 5000","8-9","","false"
"Year 4","Noel Term","4","Numeracy","Addition and subtraction of numbers up to 5 digits","8-9","","false"
"Year 4","Noel Term","5","Numeracy","Fraction","8-9","","false"
"Year 4","Noel Term","6","Numeracy","Multiplication of numbers up to 5 digits (including word problem)","8-9","","false"
"Year 4","Noel Term","7","Numeracy","Division of numbers up to 5 digits (including word problem)","8-9","","false"
"Year 4","Noel Term","8","Numeracy","Number line","8-9","","false"
"Year 4","Noel Term","9","Numeracy","Open sentences (introduction to algebra)","8-9","","false"
"Year 4","Noel Term","1","Physical and Health Education","P- starting and finishing position -100 meter H- requirements for healthy loving -- exercise and recreation","8-9","","false"
"Year 4","Noel Term","2","Physical and Health Education","P- physical fitness: meaning and components H- posture: meaning and importance of good posture","8-9","","false"
"Year 4","Noel Term","3","Physical and Health Education","P- relay race: baton exchange (visual method) H-postural defect: meaning and factors responsible","8-9","","false"
"Year 4","Noel Term","4","Physical and Health Education","P- relay race: baton exchange ( non- visual method) H- Sickness associated with various season","8-9","","false"
"Year 4","Noel Term","5","Physical and Health Education","P- triple jump H- Refuse disposal","8-9","","false"
"Year 4","Noel Term","6","Physical and Health Education","P- volleyball skills: under arm service (serving, passing scoring) H- How to sleep or rules for sleeping","8-9","","false"
"Year 4","Noel Term","7","Physical and Health Education","P- track event: hurdles H- Body recreation during sleep","8-9","","false"
"Year 4","Noel Term","8","Physical and Health Education","P- field event: javelin H- Drug education: meaning, examples, importance and ways of taking drugs (through mouth, rubbing on skin, injecting and inhaling)","8-9","","false"
"Year 4","Noel Term","9","Physical and Health Education","P- field event: short put H- diseases: meaning, types, examples, signs and symptoms","8-9","","false"
"Year 4","Noel Term","1","Social Studies","Man and his social environment -- meaning of social environment and effects of humans activities on the social environment","8-9","","false"
"Year 4","Noel Term","2","Social Studies","Ecosystem -- meaning, types, who is an ecologist? Differences between environment and ecosystem","8-9","","false"
"Year 4","Noel Term","3","Social Studies","Unity in cultural diversity -- meaning of cultural diversity and unity, unity in cultural diversity and benefits of cultural diversity, ways of promoting cultural diversity","8-9","","false"
"Year 4","Noel Term","4","Social Studies","Responsible parenthood -- meaning of parenthood, responsibilities of parents towards their children and benefits of responsible parenthood","8-9","","false"
"Year 4","Noel Term","5","Social Studies","Problems of parenthood -- challenges parents face, factors that contribute to poor parenting, characteristics and effects of irresponsible parenthood","8-9","","false"
"Year 4","Noel Term","6","Social Studies","Religious intolerance -- meaning of tolerance, intolerance, religious intolerance, danger of religious intolerance, how to prevent or reduce religious intolerance","8-9","","false"
"Year 4","Noel Term","7","Social Studies","Social amenities -- meaning , examples, importance and maintenance","8-9","","false"
"Year 4","Noel Term","8","Social Studies","Attitude to different forms of accident: meaning, types (air, road, water, rail, fire, hot water etc). The first aid treatment, positive attitude to accident victims","8-9","","false"
"Year 4","Noel Term","9","Social Studies","Resources distribution -- meaning of resources distribution, fair distribution of resources, concept of raw materials","8-9","","false"
"Year 4","Noel Term","1","Vocational Studies","Home appliances: meaning, types and importance/uses","8-9","","false"
"Year 4","Noel Term","2","Vocational Studies","Profession and occupation: differences, types and importance","8-9","","false"
"Year 4","Noel Term","3","Vocational Studies","Automobile: meaning, types and importance","8-9","","false"
